LabNo,Sample,Replicate,Method,Method2,MountingMedium,Date,Analyst,InitialWeight_g,SamplePercent,FieldsCounted,Counted,Random10FOV,Conc_per1g,MillionsPer1g,RelativePer1g
QR24_145-CB3,QR24_145,3,16 CB,Canti,CB,46035,Analyst 2,0.00147,100,16,226,,23295838.39,23.29583839,153741.4966
QR24_145-CB3,QR24_145,3,16 CB,Canti,CB,46035,Analyst 1,0.00147,100,16,238,,24532785.56,24.53278556,161904.7619
QR24_145-CB4,QR24_145,4,16 CB,Canti,CB,46035,Analyst 2,0.00156,100,16,132,,12821433.18,12.82143318,84615.38462
QR24_145-CB4,QR24_145,4,16 CB,Canti,CB,46035,Analyst 1,0.00156,100,16,166,,16123923.54,16.12392354,106410.2564
QR24_145-CB5,QR24_145,5,16 CB,Canti,CB,46035,Analyst 1,0.00148,100,16,220,,22524139.37,22.52413937,148648.6486
QR24_145-CB5,QR24_145,5,16 CB,Canti,CB,46035,Analyst 2,0.00148,100,16,237,,24264641.04,24.26464104,160135.1351
QR24_145,QR24_145,1,10 SPT,Gur-Arieh,SPT,45993,Analyst 2,0.02062,10,10,Random10FOV,175,20575794.36,20.57579436,84869.05917
QR24_145-12,QR24_145,12,10 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.013,10,10,Random10FOV,172,32076894.64,32.07689464,132307.6923
QR24_145-13,QR24_145,13,10 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.01378,10,10,Random10FOV,142,24983101.35,24.98310135,103047.8955
QR24_145-14,QR24_145,14,10 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.01313,10,10,Random10FOV,134,24742711.73,24.74271173,102056.3595
QR24_145-1,QR24_145,2,10 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.01421,10,10,Random10FOV,184,31392866.14,31.39286614,129486.2773
QR24_145-11,QR24_145,11,10 SPT,Gur-Arieh,SPT,46045,Analyst 2,0.01376,10,10,Random10FOV,185,32595715.43,32.59571543,134447.6744
QR24_145-2,QR24_145,3,10 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.0139,10,10,Random10FOV,144,25116256.8,25.1162568,103597.1223
QR24_145-3,QR24_145,4,10 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.01238,10,10,Random10FOV,136,26633331.01,26.63333101,109854.6042
QR24_145-4,QR24_145,5,10 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.01331,10,10,Random10FOV,124,22586599.58,22.58659958,93163.03531
QR24_145-5,QR24_145,6,10 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.01288,10,10,Random10FOV,115,21646575.49,21.64657549,89285.71429
